Date,Time,Racetrack,Horse,QS,Odds,Percentage,W/L/NR,Bet Type,Bookie,Bet Placed or Rejected,Bet ID,Winnings
2025-02-04,17:30,Newcastle,Mereside Madness,140,9,100,1,lucky15,888sport,Placed,SLMFXMBX,0.90
2025-02-04,16:05,Taunton,Moonlight Artist,68,7.5,99,0,lucky15,888sport,Placed,SLMFXMBX,0.90
2025-02-03,16:27,Wolverhampton,Alpine Trail,178,2.1,101,1,patent,888sport,Placed,SOFMAIZI,0.42
2025-02-03,15:30,Carlisle,Heritier,265,8.5,97,0,lucky15,888sport,Placed,CQTIBGYC,0.00
2025-02-03,19:30,Wolverhampton,Lightningboltzoom,48,7.5,104,0,single,888sport,Placed,TRAEGZDI,0.00
2025-02-03,17:00,Wolverhampton,Kaleidoscope Eyes,53,8,103,0,lucky15,888sport,Placed,TWDLQCFB,0.85
2025-02-04,17:30,Newcastle,Mereside Madness,545,7,100,1,single,sportingbet,Placed,LGOGZVXB,10.50
2025-02-03,18:30,Wolverhampton,Nelson Gay,45,7,100,0,lucky15,888sport,Placed,ZUYTXWKR,0.00
2025-02-03,14:45,Southwell,Elforleather,42,5.5,98,0,lucky15,888sport,Placed,TWDLQCFB,0.85
2025-02-03,18:30,Wolverhampton,Level Up,134,4.33,103,0,patent,888sport,Placed,FFLRLKBF,0.42
2025-02-03,19:00,Wolverhampton,Daaris,897,2.88,101,0,single,virginbet,Placed,UBAFRMHC,0.00
2025-02-03,16:00,Carlisle,Cream Of The West,49,10,105,0,single,sportingbet,Placed,QGNJLWFH,0.00
2025-02-03,15:50,Southwell,Whatsupwithyou,60,10,100,0,lucky15,888sport,Placed,LDXDAPBL,0.00
2025-02-03,14:45,Southwell,Elforleather,42,5.5,98,0,lucky15,888sport,Placed,GJBZEWJP,0.85
2025-02-03,13:40,Southwell,Ali Star Bert,246,9,98,0,lucky15,888sport,Placed,ZHEAKSAO,0.65
2025-02-03,15:30,Carlisle,Heritier,265,8.5,97,0,lucky15,888sport,Placed,ZCOYCIZZ,0.00
2025-02-03,19:00,Wolverhampton,Grand Duchess Olga,57,6,97,0,lucky15,888sport,Placed,CQTIBGYC,0.00
2025-02-03,15:05,Punchestown,Duke Silver,42,13,96,0,lucky15,888sport,Placed,MTORNDRJ,0.85
